name,comment,positive_num,re_comment_num
litneyloxan,"Regardless of legal outcome, the court of public opinion has spoken much louder. AH career was over the second she wrote that OP-Ed. You don’t get to capitalize on us real victims’ suffering and she is not making light for any of us with her actions.",409,33
Cristina Tania,"""I lost nothing less than everything "" I'm so so sorry Johnny 😯 no matter the outcome of this trial, Johnny said the true and the whole world knows now what a monster she is",370,20
Why is the rum always gone?,"I love the energy Camille, Ben, and Johnny have together. They're definitely super close now. I wish everyone the best of luck, hope to see a win tomorrow;)♡",308,4
la day,Can you imagine being so incredibly delusional in your mind to fabricate the lies that she stated? The bottle scenario is my pick as the most disgusting of them all. It’s so abundantly psycho that I can almost feel pity for her. She will never know the existence of love or truth. So in all retrospect she will never know peace of mind.,218,15
Hev,"That's a very valid point, NO other woman has joined Amber in her claim which is what you would normally expect, jumping on the band waggon.",202,6
Raja K Ghosh,"AH said to JD to tell the jury, tell the judge and tell the world that he is a victim of DV and no one would belive him. JD told everyone and we believed. JD is a victim of DV and needs to win the trial.",163,10
SAS,"Regardless of outcome, he has set the story straight.  His kids can have some peace I hope.  She, on the other hand, has ruined her entire career.  She did that to herself.",153,7
Lea-Anne,I'm just glad he did come forward about it. Imagine if he hadn't.. what could have happened to him alone with that woman😳,149,4
Margaret Tou,"I know this may sound weird but I gotta say after this trial, I think I will kinda miss those hilarious moments that AH's team brought to us, especially Elaine, definitely will miss her ridiculousness 😂",118,2
Maggie Rüssinek Kallsen,"No matter the overcome of this trial we all know the ""real"" AH, how awful, toxic, sick she is and how she almost destroyed JD life. So eventually Karma will hits her if the justice doesn't.
A lot of us will be stand by JD all the way.",115,5
Xavier,i’m so happy this is live broadcasted because even if ‘legally’ johnny doesn’t win - in the publics eyes he will have told his truth and amber will always be seen as a liar in the public eye,108,5
Granolaman,she has literally made a career and a name for herself with her false allegations. becoming a figure head for the MeToo movement. terrible,89,2
Sum Accordion Action,"Camile: Do you know the difference between toilet paper & bedsheets?

Amber: I use bedsheets & toilet paper synonymously💩",87,8
Lance Anthony,"The idea that Amber Heard of all people can allege damages totaling 100 million, double that of Johnny Depp who is one of the biggest actors for decades, is absurd",82,4
MM_Pineapple,"Camille, Ben, and Johnny are like the three popular kids at school that actually give two shits about your feelings.",76,4
VarunSran,I hope JD WINS TOMORROW ❤🤲🏻... MAN IF HE DIDN'T WIN THEN MY TRUST FOR COURT FOR JUSTICE WILL BE TEARED...,70,8
Ceejay,If was a victim of DV the last thing I would gift them would be a knife unless I had a death wish even if there were other knives in the house. She didn't act like a victim at all.,66,4
els els,I do not understand how he would possibly lose this trial.   Something must be vwry wrong with the justice system in the world.  WHAT HAS HAPPENED  IN ENGLAND ?,56,7
Ravenzpeak,"How ironic that Ms Heard has done more damage to her career and reputation by her behavior and lies in this courtroom than any of the bad press she's suing for. She's done herself in. Even if Johnny loses the money, he has shown the world that he is a deep, conscientious person who is credible even though he has had many fights with drug addiction. I think people love him more for his honesty.",55,0
theyluv_Nia20,But she was scared to hand them her phone to check the data 😂,55,4
